ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
7684,public,,frequently,1282
7685,public,,very frequently,1277
7686,walk/bicycle,,very frequently,13
7687,private,lpg,frequently,2897
7688,private,diesel,very frequently,340
7689,public,,frequently,210
7690,private,hybrid,very frequently,4602
7691,public,,never,1745
7692,private,petrol,never,6723
7693,public,,frequently,1384
7694,walk/bicycle,,frequently,30
7695,public,,very frequently,92
7696,private,diesel,frequently,1855
7697,public,,frequently,1435
7698,private,electric,very frequently,9670
7699,private,lpg,very frequently,9107
7700,private,diesel,very frequently,8430
7701,walk/bicycle,,never,13
7702,private,diesel,frequently,2684
7703,public,,very frequently,8
7704,walk/bicycle,,frequently,93
7705,walk/bicycle,,rarely,98
7706,private,diesel,very frequently,8651
7707,walk/bicycle,,very frequently,67
7708,private,diesel,never,841
7709,private,diesel,never,2356
7710,walk/bicycle,,frequently,53
7711,public,,rarely,606
7712,public,,frequently,1551
7713,public,,very frequently,1014
7714,walk/bicycle,,frequently,42
7715,private,hybrid,rarely,3383
7716,private,hybrid,frequently,6095
7717,private,petrol,never,9326
7718,walk/bicycle,,frequently,50
7719,walk/bicycle,,frequently,89
7720,public,,frequently,272
7721,walk/bicycle,,frequently,73
7722,private,diesel,rarely,4038
7723,private,hybrid,never,2900
7724,walk/bicycle,,rarely,88
7725,private,electric,never,3266
7726,private,hybrid,rarely,5688
7727,private,lpg,frequently,5978
7728,walk/bicycle,,never,87
7729,walk/bicycle,,rarely,71
7730,walk/bicycle,,frequently,1
7731,walk/bicycle,,frequently,26
7732,public,,never,1444
7733,walk/bicycle,,very frequently,27
7734,private,diesel,frequently,8553
7735,private,electric,rarely,6710
7736,private,hybrid,frequently,4423
7737,private,petrol,never,384
7738,public,,never,1341
7739,public,,very frequently,1253
7740,public,,never,1695
7741,walk/bicycle,,frequently,71
7742,walk/bicycle,,rarely,7
7743,walk/bicycle,,frequently,71
7744,walk/bicycle,,very frequently,56
7745,public,,never,213
7746,public,,frequently,1434
7747,private,lpg,never,4294
7748,walk/bicycle,,very frequently,43
7749,public,,never,1493
7750,walk/bicycle,,frequently,98
7751,walk/bicycle,,very frequently,78
7752,private,petrol,never,4911
7753,walk/bicycle,,never,14
7754,private,lpg,frequently,8159
7755,public,,frequently,1878
7756,public,,rarely,802
7757,walk/bicycle,,very frequently,94
7758,private,electric,rarely,7273
7759,private,lpg,frequently,7606
7760,private,lpg,never,1718
7761,private,hybrid,very frequently,4943
7762,walk/bicycle,,rarely,28
7763,walk/bicycle,,rarely,90
7764,public,,never,1035
7765,public,,rarely,293
7766,private,petrol,very frequently,995
7767,walk/bicycle,,rarely,37
7768,public,,frequently,1725
7769,private,lpg,never,235
7770,public,,very frequently,1610
7771,public,,very frequently,1886
7772,public,,never,109
7773,walk/bicycle,,very frequently,43
7774,walk/bicycle,,very frequently,58
7775,walk/bicycle,,rarely,30
7776,public,,very frequently,1726
7777,public,,very frequently,841
7778,walk/bicycle,,never,7
7779,walk/bicycle,,never,17
7780,public,,frequently,990
7781,public,,never,1155
7782,walk/bicycle,,frequently,16
7783,public,,very frequently,886
7784,walk/bicycle,,very frequently,44
7785,walk/bicycle,,frequently,99
7786,walk/bicycle,,frequently,20
7787,walk/bicycle,,never,67
7788,public,,frequently,1054
7789,private,diesel,very frequently,2299
7790,public,,very frequently,69
7791,public,,very frequently,1611
7792,public,,rarely,1787
7793,private,hybrid,frequently,1958
7794,walk/bicycle,,very frequently,96
7795,private,hybrid,rarely,2763
7796,public,,frequently,209
7797,private,hybrid,frequently,2826
7798,public,,never,1227
7799,walk/bicycle,,very frequently,12
7800,private,electric,frequently,729
7801,public,,never,1224
7802,walk/bicycle,,frequently,43
7803,public,,never,1537
7804,private,diesel,very frequently,4617
7805,public,,very frequently,976
7806,public,,very frequently,629
7807,walk/bicycle,,rarely,70
7808,walk/bicycle,,never,84
7809,private,diesel,frequently,8574
7810,walk/bicycle,,frequently,54
7811,walk/bicycle,,never,21
7812,private,electric,rarely,8184
7813,public,,frequently,1678
7814,public,,frequently,1420
7815,private,petrol,very frequently,2827
7816,private,petrol,frequently,1930
7817,walk/bicycle,,very frequently,9
7818,walk/bicycle,,rarely,47
7819,walk/bicycle,,frequently,76
7820,public,,very frequently,1541
7821,walk/bicycle,,frequently,17
7822,public,,very frequently,1270
7823,public,,frequently,457
7824,walk/bicycle,,frequently,25
7825,public,,frequently,243
7826,walk/bicycle,,frequently,47
7827,public,,frequently,1482
7828,private,hybrid,rarely,5853
7829,private,lpg,frequently,9684
7830,public,,rarely,1115
7831,private,electric,very frequently,5859
7832,private,petrol,frequently,4832
7833,public,,rarely,239
7834,private,lpg,rarely,2130
7835,private,hybrid,never,1306
7836,public,,frequently,1644
7837,walk/bicycle,,frequently,89
7838,private,electric,very frequently,7671
7839,walk/bicycle,,rarely,38
7840,private,lpg,very frequently,922
7841,public,,never,176
7842,public,,frequently,1692
7843,private,diesel,very frequently,9787
7844,private,petrol,frequently,7324
7845,public,,never,1103
7846,walk/bicycle,,very frequently,98
7847,public,,never,428
7848,public,,very frequently,891
7849,private,hybrid,never,6486
7850,public,,frequently,1556
7851,walk/bicycle,,rarely,97
7852,private,petrol,frequently,1504
7853,public,,never,142
7854,private,hybrid,never,9541
7855,private,diesel,never,9719
7856,public,,frequently,1402
7857,walk/bicycle,,frequently,39
7858,walk/bicycle,,very frequently,9
7859,public,,very frequently,1886
7860,public,,very frequently,1575
7861,private,diesel,never,5067
7862,private,electric,never,2614
7863,public,,very frequently,109
7864,walk/bicycle,,frequently,21
7865,public,,frequently,492
7866,public,,very frequently,358
7867,walk/bicycle,,never,10
7868,public,,very frequently,1312
7869,walk/bicycle,,very frequently,43
7870,public,,frequently,961
7871,private,lpg,frequently,3981
7872,public,,frequently,527
7873,walk/bicycle,,frequently,53
7874,walk/bicycle,,never,63
7875,public,,frequently,259
7876,private,hybrid,never,9252
7877,walk/bicycle,,frequently,92
7878,private,hybrid,never,9954
7879,public,,never,1552
7880,private,electric,rarely,9794
7881,private,hybrid,frequently,4105
7882,walk/bicycle,,never,44
7883,private,hybrid,frequently,8507
7884,walk/bicycle,,very frequently,92
7885,private,petrol,never,3171
7886,private,petrol,very frequently,7175
7887,public,,frequently,1341
7888,walk/bicycle,,never,72
7889,walk/bicycle,,frequently,86
7890,walk/bicycle,,rarely,14
7891,public,,rarely,1624
7892,private,lpg,rarely,8625
7893,public,,never,1631
7894,public,,rarely,1973
7895,private,diesel,frequently,8367
7896,public,,rarely,1553
7897,public,,frequently,377
7898,public,,frequently,1664
7899,walk/bicycle,,never,38
7900,public,,rarely,1631
7901,private,lpg,never,6363
7902,private,electric,frequently,485
7903,public,,rarely,1527
7904,public,,rarely,766
7905,public,,very frequently,1385
7906,public,,never,1002
7907,walk/bicycle,,frequently,88
7908,public,,frequently,1034
7909,public,,never,1879
7910,walk/bicycle,,never,0
7911,walk/bicycle,,frequently,68
7912,walk/bicycle,,rarely,69
7913,private,electric,very frequently,2321
7914,public,,rarely,1952
7915,walk/bicycle,,never,24
7916,walk/bicycle,,very frequently,76
7917,private,hybrid,never,3653
7918,private,petrol,rarely,7745
7919,private,hybrid,very frequently,1726
7920,walk/bicycle,,very frequently,29
7921,private,diesel,very frequently,8360
7922,walk/bicycle,,frequently,72
7923,private,lpg,very frequently,2202
7924,public,,rarely,1960
7925,public,,frequently,1595
7926,walk/bicycle,,never,84
7927,private,hybrid,never,4420
7928,private,hybrid,very frequently,6094
7929,private,lpg,very frequently,6713
7930,private,diesel,rarely,2027
7931,private,diesel,very frequently,7319
7932,public,,very frequently,1317
7933,walk/bicycle,,very frequently,5
7934,private,electric,never,6528
7935,walk/bicycle,,rarely,48
7936,walk/bicycle,,never,44
7937,private,petrol,never,7782
7938,private,petrol,never,6172
7939,walk/bicycle,,never,66
7940,private,petrol,never,8414
7941,public,,never,613
7942,walk/bicycle,,rarely,75
7943,private,hybrid,never,8961
7944,public,,never,1356
7945,public,,very frequently,1131
7946,walk/bicycle,,frequently,81
7947,public,,frequently,1522
7948,public,,very frequently,1943
7949,private,hybrid,never,7416
7950,private,diesel,very frequently,1275
7951,walk/bicycle,,rarely,69
7952,walk/bicycle,,rarely,64
7953,private,diesel,rarely,3471
7954,private,petrol,never,5557
7955,public,,very frequently,237
7956,walk/bicycle,,never,17
7957,walk/bicycle,,rarely,1
7958,walk/bicycle,,rarely,75
7959,public,,rarely,448
7960,walk/bicycle,,rarely,26
7961,walk/bicycle,,rarely,12
7962,public,,very frequently,1461
7963,public,,rarely,1818
7964,walk/bicycle,,rarely,6
7965,public,,rarely,1987
7966,private,diesel,rarely,6568
7967,public,,never,1792
7968,public,,very frequently,1169
7969,public,,never,138
7970,walk/bicycle,,never,25
7971,public,,frequently,924
7972,private,lpg,frequently,396
7973,private,lpg,never,3583
7974,walk/bicycle,,very frequently,33
7975,public,,frequently,917
7976,public,,frequently,881
7977,walk/bicycle,,frequently,52
7978,walk/bicycle,,never,90
7979,walk/bicycle,,rarely,22
7980,private,electric,rarely,7132
7981,private,petrol,frequently,2019
7982,walk/bicycle,,frequently,80
7983,walk/bicycle,,frequently,55
7984,walk/bicycle,,very frequently,89
7985,public,,very frequently,986
7986,walk/bicycle,,rarely,17
7987,walk/bicycle,,rarely,97
7988,public,,very frequently,1910
7989,private,diesel,rarely,6969
7990,public,,very frequently,1205
7991,public,,rarely,1537
7992,public,,rarely,190
7993,walk/bicycle,,rarely,21
7994,walk/bicycle,,never,66
7995,walk/bicycle,,frequently,75
7996,private,electric,never,6251
7997,public,,rarely,328
7998,private,hybrid,rarely,2220
7999,walk/bicycle,,never,92
8000,public,,very frequently,1826
8001,public,,rarely,1183
8002,private,hybrid,frequently,2088
8003,public,,very frequently,80
8004,public,,never,1257
8005,public,,never,726
8006,public,,very frequently,1824
8007,private,electric,frequently,9401
8008,private,diesel,frequently,6352
8009,public,,rarely,1463
8010,private,hybrid,rarely,9182
8011,walk/bicycle,,never,67
8012,private,hybrid,rarely,5047
8013,public,,frequently,1578
8014,walk/bicycle,,rarely,8
8015,public,,never,838
8016,public,,rarely,406
8017,public,,frequently,925
8018,walk/bicycle,,very frequently,33
8019,public,,never,1275
8020,private,petrol,very frequently,6930
8021,walk/bicycle,,never,25
8022,walk/bicycle,,very frequently,65
8023,walk/bicycle,,never,45
8024,walk/bicycle,,never,76
8025,public,,very frequently,1136
8026,private,hybrid,never,7614
8027,private,diesel,frequently,3278
8028,public,,very frequently,539
8029,public,,rarely,135
8030,walk/bicycle,,rarely,5
8031,public,,very frequently,1539
8032,walk/bicycle,,never,91
8033,walk/bicycle,,very frequently,21
8034,walk/bicycle,,never,53
8035,public,,rarely,643
8036,private,electric,frequently,5406
8037,private,hybrid,never,162
8038,public,,very frequently,325
8039,walk/bicycle,,never,36
8040,public,,rarely,710
8041,private,diesel,never,4012
8042,public,,frequently,1686
8043,private,lpg,very frequently,4850
8044,private,diesel,very frequently,3448
8045,private,lpg,very frequently,308
8046,private,lpg,rarely,1562
8047,walk/bicycle,,rarely,43
8048,walk/bicycle,,frequently,42
8049,private,electric,very frequently,1218
8050,walk/bicycle,,never,75
8051,private,electric,very frequently,2534
8052,walk/bicycle,,frequently,10
8053,private,lpg,rarely,8537
8054,public,,frequently,1201
8055,private,petrol,very frequently,5879
8056,walk/bicycle,,very frequently,27
8057,public,,very frequently,750
8058,public,,never,861
8059,private,diesel,very frequently,2634
8060,private,hybrid,rarely,7997
8061,public,,never,1910
8062,walk/bicycle,,never,1
8063,public,,very frequently,368
8064,walk/bicycle,,very frequently,43
8065,private,hybrid,never,7929
8066,private,petrol,never,4758
8067,private,lpg,very frequently,1167
8068,walk/bicycle,,frequently,35
8069,private,hybrid,rarely,9420
8070,walk/bicycle,,frequently,20
8071,walk/bicycle,,rarely,54
8072,walk/bicycle,,frequently,68
8073,walk/bicycle,,frequently,65
8074,walk/bicycle,,very frequently,15
8075,walk/bicycle,,rarely,54
8076,walk/bicycle,,never,83
8077,walk/bicycle,,frequently,90
8078,private,hybrid,never,1986
8079,walk/bicycle,,very frequently,99
8080,walk/bicycle,,never,83
8081,public,,never,773
8082,walk/bicycle,,never,62
8083,private,lpg,frequently,2684
8084,walk/bicycle,,very frequently,65
8085,walk/bicycle,,rarely,49
8086,private,electric,rarely,4132
8087,walk/bicycle,,rarely,26
8088,public,,never,1020
8089,public,,very frequently,1046
8090,public,,frequently,1180
8091,private,electric,never,5204
8092,public,,frequently,315
8093,walk/bicycle,,frequently,69
8094,private,lpg,rarely,7614
8095,private,diesel,rarely,6576
8096,walk/bicycle,,very frequently,36
8097,public,,never,1264
8098,walk/bicycle,,rarely,39
8099,public,,very frequently,1035
8100,public,,very frequently,1440
8101,walk/bicycle,,very frequently,28
8102,private,petrol,frequently,5328
8103,walk/bicycle,,very frequently,30
8104,private,electric,never,398
8105,public,,frequently,994
8106,private,petrol,very frequently,3587
8107,private,lpg,rarely,9372
8108,private,petrol,very frequently,2183
8109,public,,very frequently,1972
8110,walk/bicycle,,never,14
8111,walk/bicycle,,frequently,81
8112,private,petrol,never,1328
8113,walk/bicycle,,rarely,83
8114,public,,never,236
8115,public,,frequently,1099
8116,private,petrol,very frequently,4586
8117,private,lpg,rarely,6179
8118,walk/bicycle,,frequently,20
8119,walk/bicycle,,never,92
8120,public,,very frequently,872
8121,public,,very frequently,1652
8122,private,diesel,never,3052
8123,walk/bicycle,,never,76
8124,public,,frequently,595
8125,public,,never,1095
8126,walk/bicycle,,rarely,94
8127,public,,never,147
8128,walk/bicycle,,frequently,73
8129,public,,very frequently,249
8130,public,,rarely,164
8131,private,hybrid,never,2885
8132,private,electric,rarely,9126
8133,walk/bicycle,,very frequently,38
8134,private,petrol,never,3824
8135,public,,frequently,1535
8136,public,,never,1928
8137,public,,frequently,733
8138,walk/bicycle,,frequently,22
8139,public,,never,1922
8140,private,hybrid,rarely,6091
8141,private,petrol,never,2603
8142,public,,rarely,1815
8143,walk/bicycle,,very frequently,79
8144,private,electric,frequently,681
8145,private,electric,very frequently,854
8146,public,,very frequently,873
8147,walk/bicycle,,frequently,16
8148,private,lpg,rarely,2465
8149,walk/bicycle,,rarely,85
8150,public,,rarely,1887
8151,public,,never,459
8152,private,electric,very frequently,8854
8153,private,lpg,rarely,7389
8154,private,petrol,very frequently,13
8155,private,hybrid,very frequently,4039
8156,private,electric,frequently,14
8157,private,petrol,rarely,9710
8158,private,hybrid,never,7215
8159,public,,frequently,1132
8160,walk/bicycle,,rarely,19
8161,walk/bicycle,,frequently,92
8162,walk/bicycle,,rarely,10
8163,public,,very frequently,1320
8164,public,,never,580
8165,public,,very frequently,332
8166,public,,rarely,1447
8167,public,,frequently,883
8168,walk/bicycle,,rarely,95
8169,public,,rarely,472
8170,public,,rarely,396
8171,private,lpg,frequently,1659
8172,public,,never,1352
8173,public,,rarely,1025
8174,public,,very frequently,1861
8175,walk/bicycle,,rarely,22
8176,private,lpg,frequently,3007
8177,walk/bicycle,,very frequently,54
8178,walk/bicycle,,very frequently,45
8179,private,hybrid,very frequently,8125
8180,walk/bicycle,,frequently,73
8181,walk/bicycle,,rarely,50
8182,public,,never,1728
8183,walk/bicycle,,frequently,54
8184,public,,very frequently,1545
8185,walk/bicycle,,frequently,68
8186,walk/bicycle,,frequently,80
8187,walk/bicycle,,very frequently,80
8188,walk/bicycle,,rarely,49
8189,private,diesel,frequently,7937
8190,private,electric,frequently,8237
8191,private,electric,very frequently,1601
8192,public,,rarely,410
8193,private,hybrid,rarely,7440
8194,private,diesel,frequently,741
8195,public,,rarely,1690
8196,public,,very frequently,1088
8197,private,lpg,frequently,4863
8198,walk/bicycle,,frequently,89
8199,walk/bicycle,,rarely,75
8200,walk/bicycle,,very frequently,13
8201,private,petrol,rarely,5221
8202,public,,frequently,412
8203,walk/bicycle,,very frequently,2
8204,public,,rarely,1867
8205,walk/bicycle,,very frequently,81
8206,public,,frequently,345
8207,private,lpg,never,6367
8208,private,diesel,frequently,3643
8209,public,,rarely,1670
8210,walk/bicycle,,never,64
8211,public,,frequently,741
8212,public,,rarely,1710
8213,private,electric,very frequently,2836
8214,walk/bicycle,,very frequently,16
8215,walk/bicycle,,rarely,12
8216,private,petrol,rarely,6808
8217,walk/bicycle,,rarely,19
8218,walk/bicycle,,very frequently,4
8219,public,,very frequently,313
8220,private,petrol,never,469
8221,walk/bicycle,,frequently,87
8222,private,hybrid,rarely,3119
8223,private,hybrid,rarely,4295
8224,walk/bicycle,,frequently,30
8225,public,,never,907
8226,public,,frequently,603
8227,private,electric,very frequently,6993
8228,public,,rarely,1898
8229,private,diesel,never,3044
8230,walk/bicycle,,never,21
8231,public,,rarely,1195
8232,walk/bicycle,,rarely,41
8233,walk/bicycle,,very frequently,92
8234,walk/bicycle,,frequently,52
8235,private,electric,frequently,8454
8236,walk/bicycle,,rarely,18
8237,walk/bicycle,,never,60
8238,private,hybrid,frequently,3652
8239,private,electric,very frequently,7638
8240,public,,rarely,715
8241,walk/bicycle,,very frequently,40
8242,public,,rarely,534
8243,walk/bicycle,,frequently,2
8244,walk/bicycle,,very frequently,8
8245,private,hybrid,never,7455
8246,walk/bicycle,,never,10
8247,walk/bicycle,,frequently,30
8248,private,lpg,very frequently,90
8249,public,,frequently,118
8250,walk/bicycle,,rarely,2
8251,walk/bicycle,,frequently,10
8252,public,,frequently,841
8253,walk/bicycle,,rarely,41
8254,public,,never,1263
8255,public,,never,1996
8256,private,lpg,rarely,9012
8257,public,,rarely,1315
8258,public,,never,697
8259,private,diesel,very frequently,8371
8260,walk/bicycle,,very frequently,25
8261,public,,very frequently,307
8262,public,,very frequently,245
8263,public,,frequently,1694
8264,walk/bicycle,,never,20
8265,private,petrol,never,1022
8266,walk/bicycle,,very frequently,23
8267,private,lpg,frequently,786
8268,public,,frequently,1040
8269,private,electric,rarely,1828
8270,walk/bicycle,,very frequently,69
8271,walk/bicycle,,never,23
8272,public,,very frequently,481
8273,private,diesel,frequently,8167
8274,walk/bicycle,,very frequently,59
8275,public,,never,745
8276,private,lpg,never,439
8277,private,lpg,rarely,3880
8278,walk/bicycle,,never,24
8279,private,lpg,very frequently,7771
8280,public,,never,1766
8281,public,,frequently,1569
8282,private,petrol,frequently,6839
8283,public,,never,441
8284,public,,very frequently,53
8285,public,,never,1281
8286,walk/bicycle,,never,50
8287,public,,rarely,174
8288,private,petrol,very frequently,2402
8289,walk/bicycle,,very frequently,59
8290,private,petrol,very frequently,6287
8291,walk/bicycle,,frequently,39
8292,public,,very frequently,1159
8293,private,lpg,never,3601
8294,public,,never,1774
8295,public,,frequently,562
8296,private,diesel,frequently,2439
8297,walk/bicycle,,never,82
8298,public,,never,168
8299,private,petrol,very frequently,160
8300,walk/bicycle,,never,3
8301,private,hybrid,never,1440
8302,walk/bicycle,,very frequently,5
8303,public,,rarely,503
8304,public,,rarely,1212
8305,private,hybrid,never,8379
8306,public,,frequently,654
8307,public,,very frequently,1768
8308,public,,very frequently,834
8309,private,hybrid,very frequently,7572
8310,public,,never,770
8311,walk/bicycle,,very frequently,85
8312,public,,never,1040
8313,public,,very frequently,1715
8314,public,,frequently,839
8315,public,,never,1856
8316,public,,very frequently,90
8317,walk/bicycle,,rarely,12
8318,public,,very frequently,1486
8319,private,electric,rarely,294
8320,public,,frequently,1563
8321,public,,rarely,343
8322,public,,never,1055
8323,walk/bicycle,,very frequently,84
8324,walk/bicycle,,frequently,30
8325,private,hybrid,rarely,191
8326,private,diesel,never,6762
8327,private,lpg,rarely,7895
8328,public,,never,1193
8329,walk/bicycle,,never,5
8330,walk/bicycle,,rarely,3
8331,private,electric,rarely,4605
8332,walk/bicycle,,very frequently,82
8333,private,lpg,never,6760
8334,walk/bicycle,,frequently,97
8335,public,,rarely,1046
8336,walk/bicycle,,never,85
8337,private,petrol,frequently,4351
8338,private,lpg,rarely,9111
8339,private,diesel,frequently,8233
8340,public,,frequently,563
8341,walk/bicycle,,rarely,86
8342,public,,rarely,865
8343,private,lpg,rarely,4459
8344,walk/bicycle,,rarely,35
8345,walk/bicycle,,rarely,77
8346,private,petrol,never,5372
8347,public,,frequently,161
8348,walk/bicycle,,very frequently,0
8349,walk/bicycle,,rarely,41
8350,private,hybrid,frequently,8842
8351,walk/bicycle,,very frequently,81
8352,public,,very frequently,14
8353,public,,never,1580
8354,walk/bicycle,,very frequently,88
8355,walk/bicycle,,very frequently,17
8356,private,diesel,frequently,7435
8357,public,,never,1610
8358,walk/bicycle,,very frequently,78
8359,walk/bicycle,,never,85
8360,private,diesel,rarely,8772
8361,private,petrol,frequently,6813
8362,private,diesel,very frequently,5863
8363,walk/bicycle,,rarely,31
8364,private,electric,very frequently,3570
8365,private,electric,very frequently,8533
8366,walk/bicycle,,frequently,93
8367,private,petrol,rarely,8840
8368,private,petrol,very frequently,8860
8369,private,diesel,frequently,586
8370,private,petrol,frequently,2834
8371,private,electric,never,2850
8372,private,hybrid,never,7829
8373,walk/bicycle,,frequently,57
8374,public,,rarely,708
8375,private,hybrid,never,2765
8376,walk/bicycle,,never,8
8377,walk/bicycle,,rarely,56
8378,walk/bicycle,,rarely,99
8379,private,diesel,frequently,3730
8380,walk/bicycle,,rarely,41
8381,public,,rarely,1603
8382,walk/bicycle,,very frequently,2
8383,public,,rarely,687
8384,walk/bicycle,,never,92
8385,walk/bicycle,,rarely,57
8386,private,lpg,rarely,6019
8387,walk/bicycle,,rarely,65
8388,walk/bicycle,,frequently,51
8389,walk/bicycle,,frequently,52
8390,private,lpg,very frequently,6824
8391,private,diesel,frequently,3293
8392,private,hybrid,very frequently,6211
8393,walk/bicycle,,very frequently,60
8394,walk/bicycle,,very frequently,63
8395,private,lpg,never,9941
8396,public,,rarely,557
8397,private,lpg,never,4499
8398,private,electric,never,8764
8399,walk/bicycle,,very frequently,70
8400,private,lpg,very frequently,8786
8401,public,,never,1991
8402,walk/bicycle,,frequently,34
8403,public,,very frequently,227
8404,private,diesel,rarely,5063
8405,walk/bicycle,,very frequently,47
8406,public,,rarely,1087
8407,public,,rarely,748
8408,public,,rarely,1006
8409,walk/bicycle,,frequently,6
8410,walk/bicycle,,rarely,65
8411,walk/bicycle,,rarely,59
8412,private,diesel,very frequently,3959
8413,public,,frequently,317
8414,public,,very frequently,547
8415,walk/bicycle,,rarely,7
8416,walk/bicycle,,rarely,12
8417,walk/bicycle,,very frequently,13
8418,walk/bicycle,,rarely,70
8419,walk/bicycle,,very frequently,34
8420,walk/bicycle,,never,96
8421,private,hybrid,never,6730
8422,public,,never,248
8423,public,,rarely,912
8424,walk/bicycle,,never,25
8425,public,,frequently,328
8426,public,,never,1406
8427,private,electric,rarely,3022
8428,public,,rarely,1793
8429,private,electric,frequently,4674
8430,walk/bicycle,,never,95
8431,private,petrol,never,5356
8432,public,,frequently,1819
8433,private,diesel,frequently,5474
8434,public,,frequently,1460
8435,walk/bicycle,,never,70
8436,private,hybrid,never,2859
8437,public,,very frequently,904
8438,public,,frequently,722
8439,public,,rarely,1672
8440,public,,very frequently,661
8441,public,,never,379
8442,private,lpg,frequently,1202
8443,public,,frequently,1747
8444,public,,very frequently,1880
8445,walk/bicycle,,rarely,51
8446,walk/bicycle,,never,92
8447,walk/bicycle,,never,81
8448,public,,very frequently,1886
8449,private,electric,rarely,9489
8450,public,,never,69
8451,walk/bicycle,,rarely,9
8452,walk/bicycle,,rarely,25
8453,walk/bicycle,,frequently,61
8454,private,hybrid,rarely,5508
8455,private,lpg,very frequently,5986
8456,private,electric,rarely,8613
8457,public,,very frequently,397
8458,public,,never,1492
8459,private,lpg,rarely,4508
8460,walk/bicycle,,frequently,19
8461,private,electric,frequently,7552
8462,private,lpg,frequently,2499
8463,walk/bicycle,,rarely,38
8464,public,,frequently,1046
8465,walk/bicycle,,never,94
8466,walk/bicycle,,very frequently,87
8467,public,,frequently,1887
8468,public,,frequently,1945
8469,private,hybrid,never,2888
8470,private,petrol,very frequently,544
8471,walk/bicycle,,never,54
8472,private,hybrid,never,6920
8473,walk/bicycle,,very frequently,4
8474,public,,never,266
8475,private,lpg,very frequently,5505
8476,public,,frequently,826
8477,walk/bicycle,,very frequently,99
8478,public,,never,1277
8479,private,lpg,rarely,8771
8480,public,,never,46
8481,public,,never,1401
8482,public,,frequently,561
8483,public,,very frequently,1604
8484,private,diesel,frequently,4265
8485,walk/bicycle,,rarely,77
8486,walk/bicycle,,very frequently,28
8487,public,,frequently,519
8488,walk/bicycle,,rarely,50
8489,walk/bicycle,,frequently,60
8490,public,,very frequently,898
8491,private,hybrid,frequently,7425
8492,public,,rarely,15
8493,private,electric,frequently,2571
8494,private,diesel,rarely,9885
8495,walk/bicycle,,very frequently,48
8496,walk/bicycle,,frequently,69
8497,walk/bicycle,,very frequently,13
8498,public,,very frequently,1996
8499,public,,rarely,194
8500,walk/bicycle,,rarely,8
8501,public,,frequently,1923
8502,walk/bicycle,,rarely,90
8503,private,electric,rarely,3650
8504,walk/bicycle,,frequently,90
8505,private,lpg,frequently,5769
8506,walk/bicycle,,very frequently,66
8507,walk/bicycle,,frequently,62
8508,public,,frequently,240
8509,public,,frequently,332
8510,walk/bicycle,,very frequently,60
8511,walk/bicycle,,frequently,72
8512,walk/bicycle,,rarely,91
8513,walk/bicycle,,very frequently,77
8514,walk/bicycle,,never,73
8515,private,lpg,frequently,2664
8516,private,lpg,very frequently,2317
8517,public,,never,1033
8518,walk/bicycle,,very frequently,36
8519,walk/bicycle,,rarely,52
8520,walk/bicycle,,very frequently,32
8521,private,electric,rarely,2536
8522,public,,frequently,972
8523,walk/bicycle,,very frequently,35
8524,public,,rarely,1591
8525,private,hybrid,rarely,4763
8526,public,,never,482
8527,public,,very frequently,1423
8528,walk/bicycle,,rarely,53
8529,private,diesel,frequently,5167
8530,walk/bicycle,,never,29
8531,private,electric,very frequently,2632
8532,private,petrol,frequently,3643
8533,public,,rarely,1493
8534,walk/bicycle,,frequently,17
8535,public,,rarely,1574
8536,private,lpg,rarely,1427
8537,public,,frequently,772
8538,walk/bicycle,,frequently,24
8539,walk/bicycle,,frequently,16
8540,private,diesel,rarely,4669
8541,walk/bicycle,,very frequently,44
8542,private,hybrid,never,2131
8543,walk/bicycle,,frequently,71
8544,private,hybrid,rarely,4816
8545,private,diesel,frequently,5555
8546,private,petrol,rarely,9107
8547,public,,frequently,1707
8548,private,electric,very frequently,10
8549,walk/bicycle,,rarely,75
8550,private,lpg,very frequently,4123
8551,private,diesel,never,5619
8552,public,,never,1857
8553,walk/bicycle,,frequently,96
8554,public,,very frequently,663
8555,walk/bicycle,,rarely,95
8556,private,lpg,frequently,5198
8557,public,,never,37
8558,walk/bicycle,,frequently,84
8559,walk/bicycle,,frequently,11
8560,walk/bicycle,,never,83
8561,private,lpg,very frequently,7848
8562,public,,frequently,1079
8563,public,,never,1768
8564,public,,never,1583
8565,walk/bicycle,,rarely,44
8566,private,lpg,never,7864
8567,walk/bicycle,,never,8
8568,walk/bicycle,,very frequently,94
8569,private,hybrid,frequently,5836
8570,public,,very frequently,789
8571,walk/bicycle,,very frequently,7
8572,walk/bicycle,,never,19
8573,private,lpg,rarely,9332
8574,public,,rarely,199
8575,walk/bicycle,,rarely,24
8576,walk/bicycle,,never,53
8577,private,hybrid,never,6657
8578,private,lpg,frequently,4783
8579,walk/bicycle,,rarely,4
8580,private,petrol,very frequently,9993
8581,walk/bicycle,,very frequently,25
8582,private,petrol,very frequently,2901
8583,walk/bicycle,,very frequently,44
8584,public,,never,1584
8585,private,electric,rarely,3636
8586,private,electric,frequently,9727
8587,private,petrol,rarely,1485
8588,walk/bicycle,,never,51
8589,public,,frequently,612
8590,public,,never,901
8591,public,,never,1371
8592,private,diesel,never,759
8593,private,electric,never,625
8594,public,,never,1691
8595,walk/bicycle,,rarely,80
